run,variant,frequency,solution,generation,fitness
0,A,0.05,1,36,-0.48330597438719436
0,A,0.05,1,37,-0.3464281246905592
0,A,0.05,1,38,-0.22708648167720222
0,A,0.05,1,39,-0.26897151482318715
0,A,0.05,1,40,-0.6493203197450373
0,A,0.05,1,41,-0.970813743303018
0,A,0.05,1,42,-0.8074141376740913
0,A,0.05,1,43,-0.41425518708186004
0,A,0.05,1,44,-0.32337042189161025
0,A,0.05,1,45,-0.4339446493420844
0,A,0.05,1,46,-0.11101160064730284
0,A,0.05,1,47,-0.4802201872586593
0,A,0.05,1,48,-0.505264850494088
0,A,0.05,1,49,-0.5731249038469026
0,A,0.05,2,0,2.490393008632218
0,A,0.05,2,1,2.4973256249423166
0,A,0.05,2,2,2.7590772319402013
0,A,0.05,2,3,2.720228231974768
0,A,0.05,2,4,2.759392604918168
0,A,0.05,2,5,2.2622402416880445
0,A,0.05,2,6,2.2093721126614008
0,A,0.05,2,7,2.6375440112417197
0,A,0.05,2,8,2.656971164569216
0,A,0.05,2,9,3.005674945383703
0,A,0.05,2,10,2.4355694065322315
0,A,0.05,2,11,2.877589393604832
0,A,0.05,2,12,2.7022943759943914
0,A,0.05,2,13,2.6110504737122957
0,A,0.05,2,14,2.4645432650213936
0,A,0.05,2,15,2.834787669653094
0,A,0.05,2,16,2.3385174343295425
0,A,0.05,2,17,2.409854271927019
0,A,0.05,2,18,2.3810765392968967
0,A,0.05,2,19,2.7990811181362605
0,A,0.05,2,20,2.9103665051626395
0,A,0.05,2,21,2.473843553527568
0,A,0.05,2,22,2.3911660781286295
0,A,0.05,2,23,2.520425949734634
0,A,0.05,2,24,2.454678309647916
0,A,0.05,2,25,2.4383219710092874
0,A,0.05,2,26,2.3408190588581705
0,A,0.05,2,27,2.615182847709049
0,A,0.05,2,28,2.6106987021828827
0,A,0.05,2,29,2.447600461051178
0,A,0.05,2,30,2.1319985651246833
0,A,0.05,2,31,2.534070945341074
0,A,0.05,2,32,2.7009897307993893
0,A,0.05,2,33,2.431536648834133
0,A,0.05,2,34,2.5295872552351266
0,A,0.05,2,35,2.1967135608476345
0,A,0.05,2,36,2.655564600434878
0,A,0.05,2,37,2.678662409383435
0,A,0.05,2,38,2.59020762947916
0,A,0.05,2,39,2.2342830876415727
0,A,0.05,2,40,2.130885124882834
0,A,0.05,2,41,2.028265481681728
0,A,0.05,2,42,2.3902334877656157
0,A,0.05,2,43,2.5631992066846667
0,A,0.05,2,44,2.4994834310840224
0,A,0.05,2,45,2.466308100342185
0,A,0.05,2,46,3.154861907275367
0,A,0.05,2,47,3.292781044968725
0,A,0.05,2,48,2.6613830588262544
0,A,0.05,2,49,2.9136240152823745
0,A,0.05,3,0,0.08557052765058537
0,A,0.05,3,1,-0.004247687086206199
0,A,0.05,3,2,0.3706661143942905
0,A,0.05,3,3,0.6782270349227337
0,A,0.05,3,4,0.3101373365203473
0,A,0.05,3,5,0.6792845486438209
0,A,0.05,3,6,0.48527932093528264
0,A,0.05,3,7,0.26716546076348446
0,A,0.05,3,8,-0.03192918248910343
0,A,0.05,3,9,0.34028851185428827
0,A,0.05,3,10,0.47679752208829856
0,A,0.05,3,11,0.6592990391350412
0,A,0.05,3,12,0.4480479320422127
0,A,0.05,3,13,0.14944262033375813
0,A,0.05,3,14,0.17709280126574067
0,A,0.05,3,15,0.48471347314353047
0,A,0.05,3,16,0.43885245927022115
0,A,0.05,3,17,0.05014363911796066
0,A,0.05,3,18,0.6302299199995004
0,A,0.05,3,19,0.8873765842008542
0,A,0.05,3,20,0.21088696948848265
0,A,0.05,3,21,0.1799411253292703
0,A,0.05,3,22,0.4391212412880581
0,A,0.05,3,23,0.4547403168168798
0,A,0.05,3,24,0.4662631863244718
0,A,0.05,3,25,0.3373492974934651
0,A,0.05,3,26,0.6259569963338228
0,A,0.05,3,27,0.46200180266524954
0,A,0.05,3,28,0.4260046888702393
0,A,0.05,3,29,0.3502013221679248
0,A,0.05,3,30,0.30656607033000716
0,A,0.05,3,31,0.20931743213752615
0,A,0.05,3,32,0.04386949575635866
0,A,0.05,3,33,0.3585785973988024
0,A,0.05,3,34,0.668820881308122
0,A,0.05,3,35,0.3977169869609912
0,A,0.05,3,36,0.3551706927269758
0,A,0.05,3,37,0.3801420783183302
0,A,0.05,3,38,0.0021752248509875694
0,A,0.05,3,39,0.49822072546464513
0,A,0.05,3,40,0.35453340875824113
0,A,0.05,3,41,0.02241889400697548
0,A,0.05,3,42,0.35721937131428644
0,A,0.05,3,43,0.45527637833324885
0,A,0.05,3,44,0.44729528364535165
0,A,0.05,3,45,0.21446924300459339
0,A,0.05,3,46,0.5407167371009407
0,A,0.05,3,47,0.6363063125038693
0,A,0.05,3,48,0.0022435418944928317
0,A,0.05,3,49,0.2677846579526711
0,A,0.05,4,0,-0.5947869556929546
0,A,0.05,4,1,-0.2618866933802799
0,A,0.05,4,2,-0.4861560230754124
0,A,0.05,4,3,-0.1301909261210939
0,A,0.05,4,4,0.12989405866535855
0,A,0.05,4,5,-0.23681473939050654
0,A,0.05,4,6,0.5614889937321517
0,A,0.05,4,7,-0.41352333732941177
0,A,0.05,4,8,0.34870280744650206
0,A,0.05,4,9,-0.03101780905202738
0,A,0.05,4,10,0.08583546651827771
0,A,0.05,4,11,0.9129223179677648
0,A,0.05,4,12,0.4402623046922649
0,A,0.05,4,13,-0.12396057594508877
0,A,0.05,4,14,0.44475884560969225
0,A,0.05,4,15,0.1962221461085598
0,A,0.05,4,16,0.56734058400651
0,A,0.05,4,17,0.034092897794101115
0,A,0.05,4,18,0.3719170271039912
0,A,0.05,4,19,0.36155075575509843
0,A,0.05,4,20,0.16370586809411725
0,A,0.05,4,21,-1.3404195080995482
0,A,0.05,4,22,-0.49982074949368344
0,A,0.05,4,23,0.29709815559308306
0,A,0.05,4,24,-0.05918455738641201
0,A,0.05,4,25,0.2126193247261869
0,A,0.05,4,26,0.429702943399279
0,A,0.05,4,27,0.47706464856853464
0,A,0.05,4,28,0.11729655241254833
0,A,0.05,4,29,0.40948332568611834
0,A,0.05,4,30,-0.26584307962122833
0,A,0.05,4,31,-0.03307529037758148
0,A,0.05,4,32,0.5480350821528058
0,A,0.05,4,33,0.27882130945650163
0,A,0.05,4,34,0.16054139153375852
0,A,0.05,4,35,0.2760795208187003
0,A,0.05,4,36,-0.017214197212595834
0,A,0.05,4,37,0.1810027001816533
0,A,0.05,4,38,-0.020253315035039465
0,A,0.05,4,39,0.29943526538327525
0,A,0.05,4,40,0.6350197713972254
0,A,0.05,4,41,0.02500092274216858
0,A,0.05,4,42,0.5930873526507435
0,A,0.05,4,43,-0.16769056641080632
0,A,0.05,4,44,0.32794697891976804
0,A,0.05,4,45,0.565660184464512
0,A,0.05,4,46,-0.7332916117156492
0,A,0.05,4,47,0.0056070943760372065
0,A,0.05,4,48,0.3341441039470102
0,A,0.05,4,49,0.6983294850578374
0,A,0.05,5,0,0.16436852960622564
0,A,0.05,5,1,-0.4061597908590072
0,A,0.05,5,2,0.49020872826480655
0,A,0.05,5,3,0.2754687073922983
0,A,0.05,5,4,0.45392144491546965
0,A,0.05,5,5,0.07140669877637723
0,A,0.05,5,6,-0.08283745160083511
0,A,0.05,5,7,0.2580340242248464
0,A,0.05,5,8,0.47970543735738647
0,A,0.05,5,9,0.399459110206608
0,A,0.05,5,10,0.6553878913653788
0,A,0.05,5,11,0.3836612397343253
0,A,0.05,5,12,0.19760322925861423
0,A,0.05,5,13,0.37973858913827907
0,A,0.05,5,14,0.5021866692676021
0,A,0.05,5,15,-0.10621645226024055
0,A,0.05,5,16,0.4999612011047333
0,A,0.05,5,17,0.3016280936147944
0,A,0.05,5,18,0.062384946111147324
0,A,0.05,5,19,0.23400249780612806
0,A,0.05,5,20,0.2216867362759616
0,A,0.05,5,21,0.4062254911666379
0,A,0.05,5,22,-0.179963441764845
0,A,0.05,5,23,0.2030565352007281
0,A,0.05,5,24,0.8291703481808435
0,A,0.05,5,25,0.005451468199010434
0,A,0.05,5,26,0.4929629320182652
0,A,0.05,5,27,-0.16634024861525057
0,A,0.05,5,28,0.20548714538043475
0,A,0.05,5,29,0.057548589656399946
0,A,0.05,5,30,-0.31335539340412444
0,A,0.05,5,31,0.03527705344352899
0,A,0.05,5,32,0.5307519610239383
0,A,0.05,5,33,0.026354089382580787
0,A,0.05,5,34,0.24163053248974364
0,A,0.05,5,35,0.19238232802166502
0,A,0.05,5,36,0.07677008223608234
0,A,0.05,5,37,0.03167636461364953
0,A,0.05,5,38,0.15668163166409696
0,A,0.05,5,39,0.1969328585500984
0,A,0.05,5,40,0.6091515097309891
0,A,0.05,5,41,0.11839864219199495
0,A,0.05,5,42,0.4450057703056618
0,A,0.05,5,43,0.6133318778190758
0,A,0.05,5,44,0.28959596149895234
0,A,0.05,5,45,-0.21944268380610038
0,A,0.05,5,46,0.03662027158946115
0,A,0.05,5,47,0.468185149661955
0,A,0.05,5,48,0.5361123131009118
0,A,0.05,5,49,0.03716124868601266
0,A,0.05,6,0,0.16342120146248404
0,A,0.05,6,1,0.04860189702389966
0,A,0.05,6,2,0.07215409552005522
0,A,0.05,6,3,0.09165837096855552
0,A,0.05,6,4,0.13132328797003048
0,A,0.05,6,5,-0.007541189823782038
0,A,0.05,6,6,0.14552564220219566
0,A,0.05,6,7,0.057917735603413074
0,A,0.05,6,8,0.23883884613236764
0,A,0.05,6,9,0.01745856948771697
0,A,0.05,6,10,0.1113910138052674
0,A,0.05,6,11,0.2109443701743291
0,A,0.05,6,12,0.3315490763626157
0,A,0.05,6,13,0.17464084657358092
0,A,0.05,6,14,0.1571143461970402
0,A,0.05,6,15,0.13670582183562924
0,A,0.05,6,16,0.13893818898189292
0,A,0.05,6,17,0.6403810513364531
0,A,0.05,6,18,0.1793194620549971
0,A,0.05,6,19,0.6161916420486132
0,A,0.05,6,20,0.5754736997820399
0,A,0.05,6,21,0.28360094170149813
0,A,0.05,6,22,-0.22921948570081357
0,A,0.05,6,23,0.7770855281488969
0,A,0.05,6,24,0.3066142359151875
0,A,0.05,6,25,0.8088741768534058
0,A,0.05,6,26,0.14364368729359628
0,A,0.05,6,27,0.374761414286587
0,A,0.05,6,28,0.40126696172639625
0,A,0.05,6,29,0.2656118358296158
0,A,0.05,6,30,0.6118681879473867
0,A,0.05,6,31,0.6268802071876396
0,A,0.05,6,32,0.13217301888895755
0,A,0.05,6,33,0.6493401485856786
0,A,0.05,6,34,0.17202952538190608
0,A,0.05,6,35,0.5246768876335128
0,A,0.05,6,36,0.8447954485844413
0,A,0.05,6,37,0.11542772757963819
0,A,0.05,6,38,0.41441443709931586
0,A,0.05,6,39,0.6381686765612353
0,A,0.05,6,40,0.49872763872943915
0,A,0.05,6,41,0.4368026528273289
0,A,0.05,6,42,0.48406325288815877
0,A,0.05,6,43,0.5177787032657232
0,A,0.05,6,44,0.7477083034851659
0,A,0.05,6,45,-0.06504783827631415
0,A,0.05,6,46,0.15055540565693895
0,A,0.05,6,47,0.16624409788226957
0,A,0.05,6,48,0.28263980210306544
0,A,0.05,6,49,0.14122387062284483
0,A,0.05,7,0,-0.4315320165402333
0,A,0.05,7,1,-0.5905160089003758
0,A,0.05,7,2,-0.9177231907223232
0,A,0.05,7,3,-0.8231144570859192
0,A,0.05,7,4,-1.216458199152745
0,A,0.05,7,5,-0.8736189253421315
